TripID,Questionnaire,Income,Gender,Age,Occupation,Education,HouseHoldSize,HouseHold16,driversLicense,carAvail,OriginLoc,DestLoc,startActiv,endActiv,tripStart_time,tripDuration,TripDay,realTravelTime.Walk,realShortestDistance.Walk,realTravelTime.Car,realShortestDistance.Car,realTravelTime.MrC,realShortestDistance.MrC,realTravelTime.Bus,realShortestDistance.Bus,realAccessWalkTime.Bus,realAccessWalkDist.Bus,realEgressWalkTime.Bus,realEgressWalkDist.Bus,mode
33,19,10000-20000,Female,25-34,Employed,MSc,2,2,1,TRUE,5,6,Leisure,Work,0.79,15,2,7381,10347,1229,15186,1229,15186,3203,15186,89,158,252,328,Car
34,19,10000-20000,Female,25-34,Employed,MSc,2,2,1,TRUE,6,7,Work,Home,0.81,15,2,4347,4936,733,5281,733,5281,1812,5281,240,328,604,582,Car
35,20,10000-20000,Female,35-44,Employed,University,2,2,1,TRUE,1,2,Home,Shopping,0.73,20,2,5567,7313,632,7735,632,7735,3100,7735,585,695,1197,1565,Car
36,20,10000-20000,Female,35-44,Employed,University,2,2,1,TRUE,2,3,Shopping,HomeWork,0.77,30,2,5372,7312,664,7567,664,7567,2685,7567,1110,1564,525,695,Car
38,21,10000-20000,Female,35-44,Unemployed,HighSchool,4,3,1,TRUE,2,3,Shopping,Home,0.5,25,2,1526,1967,583,3352,583,3352,1091,3352,341,467,65,84,Car
40,22,<10000,Male,55-64,Unemployed,University,4,4,1,TRUE,1,2,Home,ChangeMode,0.38,15,2,2027,2599,688,3992,688,3992,1152,3992,311,350,134,176,Car
41,22,<10000,Male,55-64,Unemployed,University,4,4,1,TRUE,2,3,ChangeMode,Shopping,0.39,30,2,4647,6247,1223,7127,1223,7127,2216,7127,265,379,345,452,Bus
42,22,<10000,Male,55-64,Unemployed,University,4,4,1,TRUE,3,4,Shopping,ChangeMode,0.57,15,2,4719,6247,935,6391,935,6391,2056,6391,358,479,181,213,Bus
43,22,<10000,Male,55-64,Unemployed,University,4,4,1,TRUE,4,5,ChangeMode,Home,0.58,15,2,1850,2599,479,2844,479,2844,1026,2844,169,213,176,259,Car
44,22,<10000,Male,55-64,Unemployed,University,4,4,1,TRUE,5,6,Home,OtherMeetings,0.75,15,2,2469,3130,684,3605,684,3605,1647,3605,218,258,347,498,Car
45,22,<10000,Male,55-64,Unemployed,University,4,4,1,TRUE,6,7,OtherMeetings,Home,0.83,15,2,2298,3130,670,3576,670,3576,2139,3576,727,1017,446,660,Car
46,25,<10000,Female,65+,Retired,Lyceum,5,3,1,TRUE,1,2,Home,OtherMeetings,0.46,45,2,6518,9580,1479,10579,1479,10579,2389,10579,117,186,104,122,Bus
47,25,<10000,Female,65+,Retired,Lyceum,5,3,1,TRUE,2,3,OtherMeetings,Leisure,0.52,30,2,1065,1345,304,1399,304,1399,549,1399,208,270,99,115,Bus
48,25,<10000,Female,65+,Retired,Lyceum,5,3,1,TRUE,3,4,Leisure,Home,0.6,30,2,8015,8917,1099,11659,1099,11659,2791,11659,125,185,119,204,Bus
49,26,<10000,Male,45-54,Employed,University,4,2,1,TRUE,1,2,Home,Shopping,0.33,5,2,7063,10176,848,10153,848,10153,2188,10153,151,231,506,690,Car
52,27,<10000,Male,55-64,Employed,University,3,3,0,TRUE,1,2,Home,Work,0.47,30,2,5452,7139,1280,8183,1280,8183,2431,8183,53,80,521,655,Bus
53,27,<10000,Male,55-64,Employed,University,3,3,0,TRUE,2,3,Work,Home,0.6,20,2,5290,7139,1258,7309,1258,7309,1760,7309,87,122,59,74,Bus
62,32,10000-20000,Male,45-54,Unemployed,Lyceum,3,2,1,TRUE,2,3,HorkRelatedActivities,Home,0.56,30,2,2507,3175,697,3755,697,3755,1487,3755,383,467,68,90,Bus
64,32,10000-20000,Male,45-54,Unemployed,Lyceum,3,2,1,TRUE,4,5,Shopping,Home,0.84,20,2,1381,1750,366,2110,366,2110,968,2110,534,687,129,154,Bus
67,34,<10000,Female,65+,Retired,PrimarySchool,1,1,0,FALSE,1,2,Home,Shopping,0.42,60,2,8615,12265,1555,12821,1555,12821,3037,12821,2369,10791,70,79,Bus
68,34,<10000,Female,65+,Retired,PrimarySchool,1,1,0,FALSE,2,3,Shopping,Home,0.58,60,2,10115,12267,1432,12608,1432,12608,3123,12608,536,1140,93,160,Bus
69,36,<10000,Male,35-44,Employed,University,3,2,1,TRUE,1,2,Home,Work,0.38,30,2,15976,21737,1626,33468,1626,33468,4597,33468,90,128,35,48,Car
70,36,<10000,Male,35-44,Employed,University,3,2,1,TRUE,2,3,Work,Home,0.58,30,2,16272,21736,1509,33000,1509,33000,3957,33000,132,178,104,128,Car
71,37,<10000,Female,45-54,Unemployed,University,4,4,1,TRUE,1,2,Home,Shopping,0.42,45,2,3616,4930,990,5192,990,5192,1945,5192,148,211,151,211,Bus
72,37,<10000,Female,45-54,Unemployed,University,4,4,1,TRUE,2,3,Shopping,Home,0.58,60,2,3905,4930,930,5388,930,5388,2044,5388,147,193,103,122,Bus
74,38,10000-20000,Female,55-64,Houseworks,PrimarySchool,4,4,0,TRUE,2,3,PersonalActivities,Home,0.52,20,2,714,982,190,1145,190,1145,479,190,84,120,119,169,Walk
75,39,10000-20000,Female,16-24,Student,HighSchool,4,4,0,TRUE,1,2,Home,Sports,0.44,30,2,4091,5134,721,6604,721,6604,1714,6604,1513,6345,201,219,Bus
76,39,10000-20000,Female,16-24,Student,HighSchool,4,4,0,TRUE,2,3,Sports,ChangeMode,0.56,30,2,3630,5106,937,6434,937,6434,2361,6434,156,252,333,519,Bus
77,39,10000-20000,Female,16-24,Student,HighSchool,4,4,0,TRUE,3,4,ChangeMode,Home,0.59,5,2,2205,2783,588,3582,588,3582,1181,3582,80,111,117,155,Bus
78,42,30000-40000,Female,55-64,Retired,University,2,2,1,TRUE,1,2,Home,DropSomebody,0.42,10,2,2578,3484,738,4470,738,4470,1607,4470,92,122,303,401,Car
79,42,30000-40000,Female,55-64,Retired,University,2,2,1,TRUE,2,3,DropSomebody,Home,0.42,10,2,2695,3484,537,4019,537,4019,1356,4019,1290,4650,66,111,Car
80,42,30000-40000,Female,55-64,Retired,University,2,2,1,TRUE,3,4,Home,Shopping,0.46,10,2,550,623,172,925,172,925,432,925,105,111,91,90,Car
81,42,30000-40000,Female,55-64,Retired,University,2,2,1,TRUE,4,5,Shopping,Home,0.51,10,2,401,624,109,624,109,624,303,624,186,291,56,95,Car
85,43,10000-20000,Female,35-44,Employed,MSc,3,2,1,TRUE,4,5,Leisure,Home,0.9,20,2,5382,6201,877,6627,877,6627,2460,6627,59,82,470,533,Car
87,44,40000-50000,Female,16-24,Student,Lyceum,3,3,0,TRUE,2,3,School,Home,0.8,40,2,2193,2297,749,3211,749,3211,1625,3211,153,163,61,67,Bus
93,48,<10000,Male,25-34,Employed,Lyceum,2,2,1,TRUE,1,2,Home,Work,0.33,10,2,1071,1533,248,1533,248,1533,1000,1533,211,297,674,1006,MrC
94,48,<10000,Male,25-34,Employed,Lyceum,2,2,1,TRUE,2,3,Work,Leisure,0.63,10,2,4267,5701,704,6245,704,6245,1991,6245,203,258,157,242,MrC
95,48,<10000,Male,25-34,Employed,Lyceum,2,2,1,TRUE,3,4,Leisure,Home,0.83,30,2,4190,5454,1062,7363,1062,7363,2651,7363,641,807,226,297,MrC
100,51,10000-20000,Female,45-54,Houseworks,Lyceum,5,5,1,TRUE,3,4,Home,Shopping,0.45,30,2,1574,2160,354,2448,354,2448,1235,2448,204,303,872,1167,Car
101,51,10000-20000,Female,45-54,Houseworks,Lyceum,5,5,1,TRUE,4,5,Shopping,Home,0.51,20,2,1632,2160,319,2239,319,2239,1151,2239,888,1300,143,220,Car
103,55,10000-20000,Female,65+,Retired,HighSchool,2,2,0,TRUE,1,2,Home,OtherMeetings,0.29,70,2,9925,13439,1003,14233,1003,14233,2983,14233,234,329,556,739,Bus
104,55,10000-20000,Female,65+,Retired,HighSchool,2,2,0,TRUE,2,3,OtherMeetings,Home,0.67,90,2,10043,13440,1043,14313,1043,14313,2944,14313,212,265,272,390,Bus
105,56,40000-50000,Female,25-34,Employed,University,5,3,1,TRUE,1,2,Home,Sports,0.88,20,2,1762,2534,759,3556,759,3556,1078,759,161,218,338,442,Walk
106,56,40000-50000,Female,25-34,Employed,University,5,3,1,TRUE,2,3,Sports,Home,1,20,2,2241,2534,614,2551,614,2551,1099,614,328,442,137,219,Walk
107,57,20000-30000,Male,35-44,Employed,University,2,2,1,TRUE,1,2,Home,Work,0.38,10,2,5545,7407,670,7577,670,7577,2521,7577,266,358,1140,1490,Car
108,57,20000-30000,Male,35-44,Employed,University,2,2,1,TRUE,2,3,Work,Home,0.83,10,2,5460,7408,1126,13319,1126,13319,2570,13319,1126,1539,301,378,Car
116,59,<10000,Male,45-54,Unemployed,Lyceum,4,4,1,TRUE,1,2,Home,Shopping,0.47,45,2,3633,4793,1120,5251,1120,5251,1096,5251,105,136,105,151,Car
117,59,<10000,Male,45-54,Unemployed,Lyceum,4,4,1,TRUE,2,3,Shopping,Home,0.6,35,2,3802,4795,959,5061,959,5061,1504,5061,290,366,124,163,Car
118,60,10000-20000,Male,25-34,Employed,University,4,4,1,TRUE,1,2,Home,Work,0.48,30,2,9900,13279,1184,14910,1184,14910,2300,14910,1536,12199,136,183,Car
119,60,10000-20000,Male,25-34,Employed,University,4,4,1,TRUE,2,3,Work,Home,0.69,30,2,5443,7259,835,9606,835,9606,2451,9606,135,183,1218,1550,Car
120,60,10000-20000,Male,25-34,Employed,University,4,4,1,TRUE,3,4,Home,Leisure,0.88,30,2,4034,5410,1051,5414,1051,5414,1145,5414,92,144,47,64,Car
125,63,10000-20000,Female,35-44,Employed,Lyceum,3,3,0,TRUE,3,4,ChangeMode,Home,0.68,30,2,1512,1906,395,2590,395,2590,729,2590,320,1406,409,543,Bus
126,64,20000-30000,Female,55-64,Retired,HighSchool,2,2,1,TRUE,1,2,Home,Leisure,0.9,15,2,3552,4702,808,4702,808,4702,1263,4702,1052,4376,211,296,Car
127,65,30000-40000,Female,35-44,Houseworks,University,4,4,1,TRUE,1,2,Home,Shopping,0.43,10,2,7978,11102,933,12481,933,12481,1722,12481,70,87,138,186,Car
128,65,30000-40000,Female,35-44,Houseworks,University,4,4,1,TRUE,2,3,Shopping,Home,0.47,5,2,8457,11097,920,11842,920,11842,1733,11842,124,167,61,84,Car
129,69,10000-20000,Female,35-44,Employed,Lyceum,4,3,1,TRUE,1,2,Home,DropSomebody,0.33,20,2,6247,8970,942,9380,942,9380,2779,9380,209,304,238,329,Car
130,69,10000-20000,Female,35-44,Employed,Lyceum,4,3,1,TRUE,2,3,DropSomebody,Home,0.5,20,2,7254,8973,886,9509,886,9509,2889,9509,308,371,226,328,Car
131,69,10000-20000,Female,35-44,Employed,Lyceum,4,3,1,TRUE,3,4,Home,Work,0.52,30,2,6106,8544,862,9037,862,9037,3110,9037,209,304,125,153,Car
132,69,10000-20000,Female,35-44,Employed,Lyceum,4,3,1,TRUE,4,5,Work,Home,0.63,20,2,6847,8546,833,9159,833,9159,3075,9159,667,1002,226,328,Car
133,71,20000-30000,Male,25-34,Employed,University,4,4,1,TRUE,1,2,Home,Work,0.38,15,2,3825,5196,504,5992,504,5992,2651,5992,168,259,1034,1331,Car
134,71,20000-30000,Male,25-34,Employed,University,4,4,1,TRUE,2,3,Work,Home,0.96,15,2,3913,5201,595,7012,595,7012,1930,7012,72,87,731,925,Car
135,71,20000-30000,Male,25-34,Employed,University,4,4,1,TRUE,3,4,Home,Leisure,0.98,20,2,4244,5724,1073,6082,1073,6082,1619,6082,367,525,127,168,Car
136,72,30000-40000,Female,45-54,Houseworks,HighSchool,6,5,1,TRUE,1,2,Home,Other,0.33,10,2,4890,5915,678,6180,678,6180,1968,6180,641,762,85,123,Car
137,72,30000-40000,Female,45-54,Houseworks,HighSchool,6,5,1,TRUE,2,3,Other,Home,0.4,10,2,4040,5914,656,6410,656,6410,1889,6410,140,174,538,728,Car
138,72,30000-40000,Female,45-54,Houseworks,HighSchool,6,5,1,TRUE,3,4,Home,Shopping,0.48,10,2,6763,8139,877,8496,877,8496,2817,8496,641,762,183,293,Car
139,72,30000-40000,Female,45-54,Houseworks,HighSchool,6,5,1,TRUE,4,5,Shopping,Home,0.5,10,2,5495,8138,907,9038,907,9038,2602,9038,97,119,538,728,Car
140,72,30000-40000,Female,45-54,Houseworks,HighSchool,6,5,1,TRUE,5,6,Home,PickSomebody,0.71,10,2,4890,5915,678,6180,678,6180,1968,6180,641,762,85,123,Car
141,72,30000-40000,Female,45-54,Houseworks,HighSchool,6,5,1,TRUE,6,7,PickSomebody,Home,0.72,10,2,4040,5914,656,6410,656,6410,1889,6410,140,174,538,728,Car
142,73,<10000,Male,25-34,Employed,University,1,1,1,TRUE,1,2,Home,Work,0.58,5,2,2558,3479,399,3587,399,3587,1543,3587,381,519,293,417,Car
143,73,<10000,Male,25-34,Employed,University,1,1,1,TRUE,2,3,Work,Home,0.67,5,2,2542,3478,426,3480,426,3480,1148,3480,308,417,591,819,Car
144,74,10000-20000,Female,35-44,Unemployed,HighSchool,2,2,1,TRUE,1,2,Home,OtherMeetings,0.4,30,2,2611,3629,679,3903,679,3903,1206,3903,99,125,361,535,Car
145,74,10000-20000,Female,35-44,Unemployed,HighSchool,2,2,1,TRUE,2,3,OtherMeetings,Home,0.58,15,2,2799,3633,469,3657,469,3657,1466,3657,837,1047,87,125,Car
146,76,20000-30000,Female,45-54,Employed,University,4,4,1,TRUE,1,2,Home,Sports,0.33,5,2,6349,6937,868,7283,868,7283,3264,7283,143,192,2223,2200,Car
147,76,20000-30000,Female,45-54,Employed,University,4,4,1,TRUE,2,3,Sports,Home,0.42,5,2,4365,6927,888,7047,888,7047,2380,7047,1342,2191,161,200,Car
148,76,20000-30000,Female,45-54,Employed,University,4,4,1,TRUE,3,4,Home,DropSomebody,0.5,40,2,3656,5397,979,5826,979,5826,1294,5826,150,228,226,300,Car
149,76,20000-30000,Female,45-54,Employed,University,4,4,1,TRUE,4,5,DropSomebody,Home,0.53,40,2,4717,5397,858,5540,858,5540,1445,5540,315,379,153,192,Car
151,76,20000-30000,Female,45-54,Employed,University,4,4,1,TRUE,6,7,Shopping,Home,0.65,5,2,724,1129,186,1388,186,1388,358,1388,22,26,161,200,Car
152,76,20000-30000,Female,45-54,Employed,University,4,4,1,TRUE,7,8,Home,Leisure,0.79,30,2,3247,4682,647,6881,647,6881,1469,6881,150,228,105,110,Car
155,78,20000-30000,Female,35-44,Employed,Lyceum,5,2,1,TRUE,1,2,Home,Work,0.33,15,2,282,368,53,368,53,368,311,53,126,380,185,262,Walk
158,78,20000-30000,Female,35-44,Employed,Lyceum,5,2,1,TRUE,4,5,Home,Work,0.76,15,2,282,368,53,368,53,368,311,53,126,380,185,262,Walk
163,83,10000-20000,Female,35-44,Unemployed,University,4,3,0,TRUE,1,2,Home,Leisure,0.83,30,2,7053,10257,1146,11030,1146,11030,3629,11030,330,413,61,89,Car
167,87,10000-20000,Female,65+,Retired,PrimarySchool,2,2,0,FALSE,2,3,Shopping,Home,0.46,15,2,844,1098,380,2060,380,2060,773,380,552,758,139,128,Walk
174,90,10000-20000,Male,25-34,Student,Lyceum,3,1,1,TRUE,3,4,OtherMeetings,OtherMeetings,0.54,15,2,1407,1925,446,2752,446,2752,592,2752,195,286,104,137,Car
175,90,10000-20000,Male,25-34,Student,Lyceum,3,1,1,TRUE,4,5,OtherMeetings,Home,0.58,30,2,6536,8200,1219,10973,1219,10973,2114,10973,120,154,74,126,Car
177,93,10000-20000,Female,45-54,Employed,University,3,2,1,TRUE,2,3,Work,Home,0.64,10,2,2313,2973,568,2979,568,2979,851,2979,53,69,67,107,Bus
180,94,20000-30000,Female,55-64,Retired,University,4,4,1,TRUE,1,2,Home,Shopping,0.46,10,2,1142,1489,306,1617,306,1617,731,1617,150,185,243,285,Car
181,94,20000-30000,Female,55-64,Retired,University,4,4,1,TRUE,2,3,Shopping,Home,0.52,5,2,1074,1489,228,1489,228,1489,627,1489,140,206,73,94,Car
182,95,<10000,Male,45-54,Employed,HighSchool,4,4,1,TRUE,1,2,Home,Work,0.38,10,2,4642,5710,543,6155,543,6155,1340,6155,271,382,101,147,Car
183,95,<10000,Male,45-54,Employed,HighSchool,4,4,1,TRUE,2,3,Work,Home,0.58,10,2,3854,5692,574,6190,574,6190,1525,6190,122,148,304,412,Car
184,99,<10000,Female,45-54,Employed,Lyceum,2,2,0,FALSE,1,2,Home,Work,0.4,30,2,2731,3590,681,3743,681,3743,1152,3743,970,3394,182,248,Bus
187,100,<10000,Female,16-24,Student,HighSchool,4,3,0,TRUE,2,3,Leisure,Home,0.58,10,2,630,758,157,805,157,805,507,157,173,202,98,154,Walk
189,101,20000-30000,Male,45-54,Employed,MSc,3,2,1,TRUE,1,2,Home,Work,0.5,45,2,12727,17204,1471,20108,1471,20108,3311,20108,147,204,325,470,Car
191,103,<10000,Male,55-64,Employed,Lyceum,4,4,1,TRUE,1,2,Home,Work,0.31,30,2,10472,14320,1285,23553,1285,23553,3609,23553,354,424,218,291,Car
192,103,<10000,Male,55-64,Employed,Lyceum,4,4,1,TRUE,2,3,Work,Home,0.71,20,2,10815,14320,1083,21924,1083,21924,3854,21924,365,489,278,392,Car
194,104,10000-20000,Male,35-44,Employed,University,3,1,1,FALSE,2,3,Leisure,Home,0.85,20,2,3123,3796,697,4250,697,4250,1220,4250,80,101,52,77,Bus
195,105,30000-40000,Female,35-44,Employed,University,5,2,1,TRUE,1,2,Home,Work,0.58,25,2,12782,17223,1482,23045,1482,23045,3618,23045,719,1044,387,484,Car
196,105,30000-40000,Female,35-44,Employed,University,5,2,1,TRUE,2,3,Work,Home,0.97,25,2,12876,17219,1623,25307,1623,25307,3861,25307,294,430,81,127,Car
205,111,20000-30000,Female,35-44,Employed,University,4,2,1,TRUE,3,4,PersonalActivities,Home,0.77,60,2,9329,11142,961,11902,961,11902,2857,11902,807,1105,147,217,Car
207,115,10000-20000,Male,45-54,Employed,Lyceum,1,1,0,FALSE,2,3,Leisure,Home,0.96,45,2,14730,20380,1499,24231,1499,24231,6266,24231,111,175,124,164,Bus
208,116,10000-20000,Female,55-64,Unemployed,University,3,3,0,TRUE,1,2,Home,Shopping,0.71,5,2,1525,2089,563,3016,563,3016,852,3016,142,216,329,433,Car
209,116,10000-20000,Female,55-64,Unemployed,University,3,3,0,TRUE,2,3,Shopping,Home,0.75,5,2,1672,2092,393,2089,393,2089,771,2089,138,176,134,180,Car
214,118,10000-20000,Female,45-54,Employed,University,1,1,1,TRUE,3,4,Home,OtherMeetings,0.68,10,2,1688,2226,442,2248,442,2248,941,2248,498,646,124,158,Car
216,120,<10000,Female,16-24,Employed,University,1,1,1,FALSE,1,2,Home,Shopping,0.78,40,2,4747,6317,575,6583,575,6583,1969,6583,765,993,56,87,Bus
217,120,<10000,Female,16-24,Employed,University,1,1,1,FALSE,2,3,Shopping,Home,0.85,30,2,4711,6317,562,7090,562,7090,1703,7090,72,87,456,600,Bus
218,120,<10000,Female,16-24,Employed,University,1,1,1,FALSE,3,4,Home,Leisure,0.96,30,2,3304,4330,729,4319,729,4319,1166,4319,73,104,81,108,Bus
223,123,<10000,Female,45-54,Retired,Lyceum,4,4,1,TRUE,1,2,Home,Shopping,0.46,20,2,5104,7712,618,8545,618,8545,3889,8545,1638,6349,1255,1661,Car
225,123,<10000,Female,45-54,Retired,Lyceum,4,4,1,TRUE,3,4,Home,Leisure,0.94,30,2,12082,17036,1583,21143,1583,21143,4457,21143,1275,4828,111,162,Car
226,124,<10000,Female,45-54,Employed,University,5,5,1,TRUE,1,2,Home,OtherMeetings,0.44,65,2,57094,77864,2967,68555,2967,68555,5830,68555,338,440,444,3044,Car
227,124,<10000,Female,45-54,Employed,University,5,5,1,TRUE,2,3,OtherMeetings,Home,0.73,60,2,57151,77894,2891,68685,2891,68685,5190,68685,496,3160,179,254,Car
229,125,20000-30000,Male,65+,Retired,Lyceum,3,3,1,TRUE,2,3,Work,Work,0.41,10,2,2052,2673,529,4734,529,4734,1377,4734,452,2178,60,87,Car
230,125,20000-30000,Male,65+,Retired,Lyceum,3,3,1,TRUE,3,4,Work,Home,0.49,5,2,840,1085,232,1173,232,1173,598,1173,161,189,286,337,Car
231,126,30000-40000,Female,55-64,Retired,University,2,2,1,TRUE,1,2,Home,OtherMeetings,0.72,20,2,3226,4474,1178,5407,1178,5407,1799,5407,98,136,484,645,Car
232,126,30000-40000,Female,55-64,Retired,University,2,2,1,TRUE,2,3,OtherMeetings,Home,0.83,20,2,3580,4379,915,4521,915,4521,1880,4521,491,624,91,104,Car
233,127,10000-20000,Female,65+,Retired,PrimarySchool,3,3,0,TRUE,1,2,Home,Shopping,0.56,15,2,1304,2071,627,2777,627,2777,1189,2777,126,157,36,55,Bus
240,134,<10000,Female,65+,Retired,PrimarySchool,1,1,0,FALSE,1,2,Home,OtherMeetings,0.33,10,2,1436,1812,367,2523,367,2523,665,2523,127,150,156,213,Bus
242,136,10000-20000,Female,16-24,Unemployed,Lyceum,3,3,0,FALSE,1,2,Home,Work,0.48,30,2,2917,4027,750,4348,750,4348,1430,4348,291,418,205,253,Bus
243,136,10000-20000,Female,16-24,Unemployed,Lyceum,3,3,0,FALSE,2,3,Work,OtherMeetings,0.9,20,2,4129,5147,744,5657,744,5657,1590,5657,54,79,114,146,Car
244,137,<10000,Male,25-34,Student,MSc,3,3,1,TRUE,1,2,Home,Leisure,0.75,45,2,4167,5548,908,5716,908,5716,1673,5716,83,113,296,292,Bus
245,137,<10000,Male,25-34,Student,MSc,3,3,1,TRUE,2,3,Leisure,Home,0.96,45,2,4136,5548,766,5963,766,5963,1787,5963,455,649,84,106,Bus
246,138,10000-20000,Male,35-44,Employed,Lyceum,4,2,1,TRUE,1,2,Home,Shopping,0.46,15,2,576,796,121,796,121,796,424,796,114,162,251,350,Car
247,138,10000-20000,Male,35-44,Employed,Lyceum,4,2,1,TRUE,2,3,Shopping,Home,0.51,15,2,571,796,111,796,111,796,450,796,312,431,94,125,Car
248,139,30000-40000,Male,35-44,Employed,University,6,2,1,TRUE,1,2,Home,Leisure,0.5,30,2,3477,4539,985,4754,985,4754,1307,4754,432,603,135,178,Car
249,139,30000-40000,Male,35-44,Employed,University,6,2,1,TRUE,2,3,Leisure,Home,0.73,30,2,3574,4539,926,4876,926,4876,1603,4876,289,375,501,643,Car
254,143,10000-20000,Male,65+,Retired,Lyceum,3,3,1,TRUE,2,3,Shopping,Home,0.58,20,2,2373,3077,609,3573,609,3573,1231,3573,38,47,234,343,Bus
256,143,10000-20000,Male,65+,Retired,Lyceum,3,3,1,TRUE,4,5,Leisure,Home,0.98,15,2,2373,3077,609,3573,609,3573,1231,3573,38,47,234,343,Bus
261,146,10000-20000,Male,35-44,Employed,University,3,2,1,TRUE,1,2,Home,Leisure,0.5,20,2,466,608,185,791,185,791,324,791,38,60,152,185,Car
263,147,10000-20000,Female,35-44,Employed,Lyceum,3,2,0,TRUE,1,2,Work,Other,0.29,110,2,2014,2702,280,2726,280,2726,639,2726,49,64,174,222,Bus
266,148,<10000,Male,16-24,Student,Lyceum,2,2,1,FALSE,2,3,Home,Work,0.67,20,2,2013,2674,726,3485,726,3485,881,3485,242,326,105,151,Bus
